RED,IR,EKG,TIME
50054,106047,5
50067,106043,5
50064,106056,4
50071,106048,5
50060,106066,5
50065,106054,5
50076,106063,5
50070,106058,4
50063,106061,5
50067,106057,5
50064,106054,5
50058,106060,5
50069,106064,4
50068,106067,5
50066,106066,5
50071,106078,6
50067,106083,4
50077,106076,4
50079,106077,5
50083,106084,5
50074,106089,5
50081,106100,5
50084,106109,4
50083,106112,5
50081,106114,5
50088,106110,5
50089,106119,4
50096,106128,4
50100,106122,5
50095,106121,5
50101,106143,5
50095,106128,4
50090,106128,5
50099,106129,5
50098,106136,5
50106,106134,5
50097,106136,5
50102,106130,4
50101,106140,5
50100,106139,5
50098,106136,6
50101,106133,3
50102,106139,5
50096,106135,5
50098,106132,5
50110,106126,5
50100,106137,4
50105,106133,5
50095,106132,5
50104,106132,5
50104,106137,5
50100,106136,4
50104,106137,5
50104,106147,5
50107,106150,5
50123,106156,4
50113,106163,4
50112,106168,5
50105,106164,5
50116,106149,5
50109,106154,4
50118,106155,6
50107,106148,4
50110,106137,5
50099,106118,5
50094,106109,4
50085,106095,5
50077,106084,5
50083,106077,5
50068,106073,5
50070,106084,4
50072,106095,5
50088,106099,5
50082,106097,5
50070,106104,5
50089,106089,4
50081,106094,5
50084,106100,5
50086,106091,5
50084,106099,5
50081,106085,4
50077,106078,5
50081,106082,5
50074,106071,5
50068,106070,5
50064,106062,4
50072,106034,6
50057,106027,4
50048,106022,5
50037,106002,4
50044,105991,5
50023,105976,5
50016,105960,5
50014,105942,5
50014,105932,4
50000,105925,5
49998,105918,5
49987,105908,5
49991,105899,5
49976,105881,4
49979,105879,5
49972,105881,5
49966,105853,5
49968,105857,5
49954,105835,4
49944,105822,5
49952,105797,5
49942,105818,5
49944,105806,5
49941,105797,4
49942,105793,5
49941,105792,6
49930,105790,4
49924,105762,5
49925,105775,4
49921,105757,5
49912,105747,5
49915,105752,5
49916,105757,4
49909,105744,4
49906,105745,5
49912,105739,5
49909,105738,5
49897,105736,4
49905,105728,5
49899,105714,5
49893,105709,5
49890,105713,5
49888,105706,4
49893,105717,5
49892,105705,5
49892,105705,5
49889,105696,5
49900,105704,4
49895,105698,5
49892,105702,5
49892,105705,6
49892,105713,4
49887,105692,4
49898,105699,5
49892,105710,5
49890,105708,5
49893,105705,5
49885,105707,4
49894,105712,5
49895,105695,5
49889,105707,5
49884,105692,5
49886,105691,4
49885,105692,5
49890,105691,5
49888,105694,5
49879,105695,4
49882,105683,5
49878,105687,5
49876,105690,5
49881,105676,5
49879,105682,5
49876,105682,4
49871,105669,5
49870,105672,5
49881,105670,5
